GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
937785206,20200729,202007,2020,2020.5726,AZE,AZERBAIJANI,AZE,,,,,,,,ARM,ARMENIAN,ARM,,,,,,,,0,141,141,14,3,-6.5,14,2,14,-7.05906778781273,4,"Tovuz, Tovuz, Azerbaijan",AJ,AJ58,40.9922,45.6289,-2708893,1,Armenia,AM,AM,40.0,45.0,AM,4,"Tovuz, Tovuz, Azerbaijan",AJ,AJ58,40.9922,45.6289,-2708893,20200729,https://en.trend.az/azerbaijan/politics/3276571.html
937785207,20200729,202007,2020,2020.5726,AZE,AZERBAIJANI,AZE,,,,,,,,ARM,ARMENIAN,ARM,,,,,,,,0,141,141,14,3,-6.5,2,2,2,-7.05906778781273,1,Armenia,AM,AM,40.0,45.0,AM,2,"California, United States",US,USCA,36.17,-119.746,CA,2,"California, United States",US,USCA,36.17,-119.746,CA,20200729,https://en.trend.az/azerbaijan/politics/3276571.html
937789558,20200729,202007,2020,2020.5726,ARM,ARMENIA,ARM,,,,,,,,AZE,AZERBAIJANI,AZE,,,,,,,,1,190,190,19,4,-10.0,4,2,4,-5.9420852600986,1,Armenia,AM,AM,40.0,45.0,AM,4,"Tovuz, Tovuz, Azerbaijan",AJ,AJ58,40.9922,45.6289,-2708893,4,"Tovuz, Tovuz, Azerbaijan",AJ,AJ58,40.9922,45.6289,-2708893,20200729,https://www.azernews.az/nation/167476.html
937789559,20200729,202007,2020,2020.5726,ARM,ARMENIA,ARM,,,,,,,,AZE,AZERBAIJANI,AZE,,,,,,,,1,190,190,19,4,-10.0,12,4,10,-4.99819240209201,1,Armenia,AM,AM,40.0,45.0,AM,1,Armenia,AM,AM,40.0,45.0,AM,1,Armenia,AM,AM,40.0,45.0,AM,20200729,https://www.azernews.az/nation/167476.html
937789563,20200729,202007,2020,2020.5726,ARMMIL,ARMENIAN,ARM,,,,,MIL,,,AZEMIL,AZERBAIJANI,AZE,,,,,MIL,,,1,190,190,19,4,-10.0,12,2,12,-5.9420852600986,1,Armenia,AM,AM,40.0,45.0,AM,4,"Tovuz, Tovuz, Azerbaijan",AJ,AJ58,40.9922,45.6289,-2708893,4,"Tovuz, Tovuz, Azerbaijan",AJ,AJ58,40.9922,45.6289,-2708893,20200729,https://www.azernews.az/nation/167476.html
937789579,20200729,202007,2020,2020.5726,AZE,AZERBAIJAN,AZE,,,,,,,,ARM,ARMENIA,ARM,,,,,,,,1,112,112,11,3,-2.0,12,3,12,-4.84537949940591,4,"Baku, Baki*, Azerbaijan",AJ,AJ09,40.3953,49.8822,-2705195,4,"Yerevan, Yerevan*, Armenia",AM,AM11,40.1811,44.5136,-2325645,4,"Baku, Baki*, Azerbaijan",AJ,AJ09,40.3953,49.8822,-2705195,20200729,https://www.yenisafak.com/en/news/turkey-ready-for-talks-with-greece-sans-preconditions-3535592
937789580,20200729,202007,2020,2020.5726,AZE,AZERBAIJAN,AZE,,,,,,,,ARM,ARMENIA,ARM,,,,,,,,1,112,112,11,3,-2.0,4,3,4,-4.33594255227629,4,"Tovuz, Tovuz, Azerbaijan",AJ,AJ58,40.9922,45.6289,-2708893,4,"Baku, Baki*, Azerbaijan",AJ,AJ09,40.3953,49.8822,-2705195,4,"Baku, Baki*, Azerbaijan",AJ,AJ09,40.3953,49.8822,-2705195,20200729,https://www.yenisafak.com/en/news/turkey-ready-for-talks-with-greece-sans-preconditions-3535592
937789581,20200729,202007,2020,2020.5726,AZE,AZERBAIJAN,AZE,,,,,,,,ARM,YEREVAN,ARM,,,,,,,,1,130,130,13,3,-4.4,18,6,18,-5.28570872797969,4,"Baku, Baki*, Azerbaijan",AJ,AJ09,40.3953,49.8822,-2705195,4,"Yerevan, Yerevan*, Armenia",AM,AM11,40.1811,44.5136,-2325645,4,"Yerevan, Yerevan*, Armenia",AM,AM11,40.1811,44.5136,-2325645,20200729,https://www.yenisafak.com/en/news/turkey-ready-for-talks-with-greece-sans-preconditions-3535592
937789582,20200729,202007,2020,2020.5726,AZE,AZERBAIJAN,AZE,,,,,,,,ARM,ARMENIA,ARM,,,,,,,,1,130,130,13,3,-4.4,4,3,4,-4.33594255227629,4,"Tovuz, Tovuz, Azerbaijan",AJ,AJ58,40.9922,45.6289,-2708893,4,"Yerevan, Yerevan*, Armenia",AM,AM11,40.1811,44.5136,-2325645,4,"Baku, Baki*, Azerbaijan",AJ,AJ09,40.3953,49.8822,-2705195,20200729,https://www.yenisafak.com/en/news/turkey-ready-for-talks-with-greece-sans-preconditions-3535592
937789583,20200729,202007,2020,2020.5726,AZEGOV,AZERBAIJAN,AZE,,,,,GOV,,,ARM,ARMENIA,ARM,,,,,,,,1,10,10,1,1,0.0,30,3,30,-3.89203682562293,1,Armenia,AM,AM,40.0,45.0,AM,1,Armenia,AM,AM,40.0,45.0,AM,1,Armenia,AM,AM,40.0,45.0,AM,20200729,https://www.azernews.az/karabakh/167487.html
