пара,страна_A,страна_B,код_A,код_B,день_X,окно_с,окно_по,точность_даты,интенсивность,тип_конфликта,покрытие_GDELT,conflict_id
KHM-THA,Cambodia (Kampuchea),Thailand,KHM,THA,2025-07-26,2025-05-27,2025-07-25,1,1,2,дневные файлы,294
ISR-SYR,Israel,Syria,ISR,SYR,2025-07-16,2025-05-17,2025-07-15,2,1,2,дневные файлы,302
ISR-YEM,Israel,Yemen (North Yemen),ISR,YEM,2025-05-22,2025-03-23,2025-05-21,1,1,2,дневные файлы,16470
IND-PAK,India,Pakistan,IND,PAK,2025-05-07,2025-03-08,2025-05-06,1,1,2,дневные файлы,218
AFG-PAK,Afghanistan,Pakistan,AFG,PAK,2024-08-12,2024-06-13,2024-08-11,1,1,2,дневные файлы,11639
GBR-YEM,United Kingdom,Yemen (North Yemen),GBR,YEM,2024-02-03,2023-12-05,2024-02-02,1,1,2,дневные файлы,16099
USA-YEM,United States of America,Yemen (North Yemen),USA,YEM,2024-02-03,2023-12-05,2024-02-02,1,1,2,дневные файлы,16099
RUS-UKR,Russia (Soviet Union),Ukraine,RUS,UKR,2022-02-24,2021-12-26,2022-02-23,1,2,2,дневные файлы,13243
KGZ-TJK,Kyrgyzstan,Tajikistan,KGZ,TJK,2021-05-01,2021-03-02,2021-04-30,2,1,2,дневные файлы,13324
CHN-IND,China,India,CHN,IND,2020-08-30,2020-07-01,2020-08-29,1,1,2,дневные файлы,274
IRN-ISR,Iran,Israel,IRN,ISR,2018-04-29,2018-02-28,2018-04-28,1,1,2,дневные файлы,14609
ERI-ETH,Eritrea,Ethiopia,ERI,ETH,2016-06-13,2016-04-14,2016-06-12,2,1,2,дневные файлы,409
IND-PAK,India,Pakistan,IND,PAK,2013-10-04,2013-08-05,2013-10-03,1,1,2,дневные файлы,218
SDN-SSD,South Sudan,Sudan,SSD,SDN,2012-03-27,2012-01-27,2012-03-26,1,1,2,месячные файлы,11348
KHM-THA,Cambodia (Kampuchea),Thailand,KHM,THA,2011-04-28,2011-02-27,2011-04-27,2,1,2,месячные файлы,294
DJI-ERI,Djibouti,Eritrea,DJI,ERI,2008-06-11,2008-04-12,2008-06-10,2,1,2,месячные файлы,435
IRQ-USA,United States of America,Iraq,USA,IRQ,2003-03-23,2003-01-22,2003-03-22,1,2,2,годовые файлы,420
AUS-IRQ,Australia,Iraq,AUS,IRQ,2003-03-23,2003-01-22,2003-03-22,1,2,2,годовые файлы,420
GBR-IRQ,United Kingdom,Iraq,GBR,IRQ,2003-03-23,2003-01-22,2003-03-22,1,2,2,годовые файлы,420
AFG-GBR,Afghanistan,United Kingdom,AFG,GBR,2001-10-07,2001-08-08,2001-10-06,1,2,2,годовые файлы,13692
AFG-USA,Afghanistan,United States of America,AFG,USA,2001-10-07,2001-08-08,2001-10-06,1,2,2,годовые файлы,13692
ERI-ETH,Eritrea,Ethiopia,ERI,ETH,1998-05-31,1998-04-01,1998-05-30,2,2,2,годовые файлы,409
IND-PAK,India,Pakistan,IND,PAK,1996-12-31,1996-11-01,1996-12-30,5,1,2,годовые файлы,218
CMR-NGA,Cameroon,Nigeria,CMR,NGA,1996-05-07,1996-03-08,1996-05-06,3,1,2,годовые файлы,405
ECU-PER,Ecuador,Peru,ECU,PER,1995-01-31,1994-12-02,1995-01-30,1,1,2,годовые файлы,403
IND-PAK,India,Pakistan,IND,PAK,1994-06-28,1994-04-29,1994-06-27,5,1,2,годовые файлы,218
IRQ-KWT,Iraq,Kuwait,IRQ,KWT,1990-08-02,1990-06-03,1990-08-01,1,2,2,годовые файлы,371
IND-PAK,India,Pakistan,IND,PAK,1989-12-31,1989-11-01,1989-12-30,5,1,2,годовые файлы,218
PAN-USA,Panama,United States of America,PAN,USA,1989-12-23,1989-10-24,1989-12-22,2,1,2,годовые файлы,368
IND-PAK,India,Pakistan,IND,PAK,1987-12-31,1987-11-01,1987-12-30,5,1,2,годовые файлы,218
LBY-TCD,Chad,Libya,TCD,LBY,1987-08-08,1987-06-09,1987-08-07,1,2,2,годовые файлы,361
LAO-THA,Laos,Thailand,LAO,THA,1986-12-31,1986-11-01,1986-12-30,5,1,2,годовые файлы,356
CHN-VNM,China,Vietnam (North Vietnam),CHN,VNM,1986-12-31,1986-11-01,1986-12-30,5,1,2,годовые файлы,334
BFA-MLI,Burkina Faso,Mali,BFA,MLI,1985-12-26,1985-10-27,1985-12-25,2,1,2,годовые файлы,355
IND-PAK,India,Pakistan,IND,PAK,1984-12-31,1984-11-01,1984-12-30,5,1,2,годовые файлы,218
CHN-VNM,China,Vietnam (North Vietnam),CHN,VNM,1983-12-31,1983-11-01,1983-12-30,5,1,2,годовые файлы,334
GRD-USA,Grenada,United States of America,GRD,USA,1983-10-25,1983-08-26,1983-10-24,1,1,2,годовые файлы,350
NGA-TCD,Chad,Nigeria,TCD,NGA,1983-04-24,1983-02-23,1983-04-23,1,1,2,годовые файлы,349
ARG-GBR,Argentina,United Kingdom,ARG,GBR,1982-05-02,1982-03-03,1982-05-01,1,1,2,годовые файлы,346
IRN-IRQ,Iran,Iraq,IRN,IRQ,1980-09-23,1980-07-25,1980-09-22,1,2,2,годовые файлы,324
ETH-SOM,Ethiopia,Somalia,ETH,SOM,1980-05-31,1980-04-01,1980-05-30,3,1,2,годовые файлы,268
AFG-RUS,Afghanistan,Russia (Soviet Union),AFG,RUS,1979-12-27,1979-10-28,1979-12-26,1,1,2,годовые файлы,431
