GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
812784894,20181228,201812,2018,2018.9808,IND,NEW DELHI,IND,,,,,,,,PAK,PAKISTAN,PAK,,,,,,,,1,120,120,12,3,-4.0,1,1,1,0.0,4,"New Delhi, Delhi, India",IN,IN07,28.6,77.2,-2106102,4,"Kartarpur, Punjab, Pakistan",PK,PK04,30.9167,72.7833,-2764760,4,"New Delhi, Delhi, India",IN,IN07,28.6,77.2,-2106102,20181228,https://www.deccanchronicle.com/nation/current-affairs/281218/no-initiative-with-pakistan.html
812784895,20181228,201812,2018,2018.9808,IND,NEW DELHI,IND,,,,,,,,PAK,PAKISTAN,PAK,,,,,,,,1,120,120,12,3,-4.0,2,1,2,0.0,4,"New Delhi, Delhi, India",IN,IN07,28.6,77.2,-2106102,4,"Kartarpur, Punjab, Pakistan",PK,PK04,30.9167,72.7833,-2764760,4,"Kartarpur, Punjab, Pakistan",PK,PK04,30.9167,72.7833,-2764760,20181228,https://www.deccanchronicle.com/nation/current-affairs/281218/no-initiative-with-pakistan.html
812784898,20181228,201812,2018,2018.9808,INDGOV,JASWANT SINGH,IND,,,,,GOV,,,PAK,PAKISTAN,PAK,,,,,,,,1,10,10,1,1,0.0,1,1,1,-2.67214799588901,1,Pakistan,PK,PK,30.0,70.0,PK,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,1,Pakistan,PK,PK,30.0,70.0,PK,20181228,https://moderndiplomacy.eu/2018/12/27/could-india-have-remained-an-undivided-country/
812784899,20181228,201812,2018,2018.9808,INDGOV,JASWANT SINGH,IND,,,,,GOV,,,PAK,PAKISTAN,PAK,,,,,,,,1,10,10,1,1,0.0,1,1,1,-2.67214799588901,1,Pakistan,PK,PK,30.0,70.0,PK,1,Pakistan,PK,PK,30.0,70.0,PK,1,Pakistan,PK,PK,30.0,70.0,PK,20181228,https://moderndiplomacy.eu/2018/12/27/could-india-have-remained-an-undivided-country/
812787133,20181228,201812,2018,2018.9808,PAK,PAKISTANI,PAK,,,,,,,,IND,DELHI,IND,,,,,,,,0,172,172,17,4,-5.0,7,1,7,-4.68356583166374,4,"Islamabad, Islamabad, Pakistan",PK,PK08,33.7,73.1667,-2762812,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,4,"Islamabad, Islamabad, Pakistan",PK,PK08,33.7,73.1667,-2762812,20181228,https://www.thenews.com.pk/print/411465-indian-hc-lodges-a-heap-of-complaints
812800708,20181228,201812,2018,2018.9808,IND,NEW DELHI,IND,,,,,,,,PAKGOV,PAKISTAN,PAK,,,,,GOV,,,1,40,40,4,1,1.0,6,1,6,-8.16326530612249,4,"New Delhi, Delhi, India",IN,IN07,28.6,77.2,-2106102,1,Pakistan,PK,PK,30.0,70.0,PK,1,Pakistan,PK,PK,30.0,70.0,PK,20181228,http://www.newsonair.com/Main-News-Details.aspx?id=357222
812812100,20181228,201812,2018,2018.9808,PAK,PAKISTANI,PAK,,,,,,,,IND,DELHI,IND,,,,,,,,0,172,172,17,4,-5.0,1,1,1,-4.86815415821501,4,"Islamabad, Islamabad, Pakistan",PK,PK08,33.7,73.1667,-2762812,4,"Islamabad, Islamabad, Pakistan",PK,PK08,33.7,73.1667,-2762812,4,"Islamabad, Islamabad, Pakistan",PK,PK08,33.7,73.1667,-2762812,20181228,https://www.thenews.com.pk/print/411691-pakistan-rejects-indian-assertions-on-envoys-harassment
812823781,20181228,201812,2018,2018.9808,INDGOV,JAMMU AND KASHMIR,IND,,,,,GOV,,,PAK,ISLAMABAD,PAK,,,,,,,,1,110,110,11,3,-2.0,2,1,2,-3.2258064516129,4,"Kashmir, North-West Frontier, Pakistan",PK,PK03,34.796,72.1502,-2764806,4,"Kashmir, North-West Frontier, Pakistan",PK,PK03,34.796,72.1502,-2764806,4,"Gilgit-Baltistan, Northern Areas, Pakistan",PK,PK07,36.0,75.0,10789791,20181228,https://www.thenews.com.pk/print/411641-ajk-not-opposed-to-gb-rights-farooq-haider
812823782,20181228,201812,2018,2018.9808,INDGOV,JAMMU AND KASHMIR,IND,,,,,GOV,,,PAK,ISLAMABAD,PAK,,,,,,,,1,110,110,11,3,-2.0,2,1,2,-3.24675324675325,4,"Gilgit-Baltistan, Northern Areas, Pakistan",PK,PK07,36.0,75.0,10789791,4,"Gilgit-Baltistan, Northern Areas, Pakistan",PK,PK07,36.0,75.0,10789791,4,"Gilgit-Baltistan, Northern Areas, Pakistan",PK,PK07,36.0,75.0,10789791,20181228,https://www.thenews.com.pk/print/411606-ajk-not-opposed-to-gb-rights-pm-farooq
812825818,20181228,201812,2018,2018.9808,PAK,PAKISTANI,PAK,,,,,,,,IND,GUJARAT,IND,,,,,,,,1,40,40,4,1,1.0,10,1,10,0.42016806722689,4,"Karachi, Sindh, Pakistan",PK,PK05,24.8667,67.05,-2764584,4,"Karachi, Sindh, Pakistan",PK,PK05,24.8667,67.05,-2764584,4,"Karachi, Sindh, Pakistan",PK,PK05,24.8667,67.05,-2764584,20181228,https://www.newsx.com/national/pakistani-delegations-to-attend-gujarat-summit-for-the-first-time-since-2013
