пара,день_X,лид_тайм_дней
AFG-PAK,2026-02-21,13.0
ARM-AZE,2016-04-01,
ARM-AZE,2020-07-12,21.0
ARM-AZE,2020-09-27,8.0
ARM-AZE,2021-05-12,15.0
ARM-AZE,2022-09-12,1.0
BTN-CHN,2017-06-16,23.0
CHN-IND,2014-09-16,26.0
CHN-IND,2017-06-16,22.0
CHN-IND,2020-06-15,
CHN-IND,2022-12-09,11.0
CHN-VNM,2014-05-01,9.0
COD-RWA,2025-01-23,21.0
ETH-SDN,2020-12-15,26.0
FRA-SYR,2018-04-14,
GBR-SYR,2018-04-14,2.0
IND-PAK,2019-02-26,11.0
IND-PAK,2025-05-07,24.0
IRN-ISR,2024-04-01,26.0
IRN-ISR,2024-10-01,10.0
IRN-ISR,2025-06-13,
IRN-ISR,2026-02-28,
IRN-PAK,2024-01-16,26.0
IRN-USA,2020-01-03,4.0
IRN-USA,2025-06-13,6.0
IRN-USA,2026-02-28,
KGZ-TJK,2021-04-28,3.0
KGZ-TJK,2022-09-14,19.0
KHM-THA,2025-05-28,23.0
KHM-THA,2025-12-07,25.0
RUS-TUR,2015-11-24,3.0
RUS-UKR,2014-02-27,
RUS-UKR,2022-02-24,25.0
SYR-TUR,2020-02-27,25.0
SYR-USA,2017-04-07,26.0
SYR-USA,2018-04-14,3.0
USA-VEN,2026-01-03,17.0
