пара,день_X,метка,название,признак,порог,лид_тайм_дней,цензурировано,потолок_дней
AFG-PAK,2025-02-21,0,контроль к «Афгано-пакистанская война» (−1 г.),z_tone,1.0,13.0,False,26
AFG-PAK,2025-02-21,0,контроль к «Афгано-пакистанская война» (−1 г.),z_tone,2.0,,False,26
AFG-PAK,2025-02-21,0,контроль к «Афгано-пакистанская война» (−1 г.),z_vol,1.0,1.0,False,26
AFG-PAK,2025-02-21,0,контроль к «Афгано-пакистанская война» (−1 г.),z_vol,2.0,,False,26
AFG-PAK,2025-02-21,0,контроль к «Афгано-пакистанская война» (−1 г.),vol_ratio,1.5,,False,26
AFG-PAK,2025-02-21,0,контроль к «Афгано-пакистанская война» (−1 г.),vol_ratio,2.5,,False,26
AFG-PAK,2026-02-21,1,Афгано-пакистанская война,z_tone,1.0,13.0,False,26
AFG-PAK,2026-02-21,1,Афгано-пакистанская война,z_tone,2.0,10.0,False,26
AFG-PAK,2026-02-21,1,Афгано-пакистанская война,z_vol,1.0,12.0,False,26
AFG-PAK,2026-02-21,1,Афгано-пакистанская война,z_vol,2.0,10.0,False,26
AFG-PAK,2026-02-21,1,Афгано-пакистанская война,vol_ratio,1.5,11.0,False,26
AFG-PAK,2026-02-21,1,Афгано-пакистанская война,vol_ratio,2.5,,False,26
ARM-AZE,2015-04-02,0,контроль к «Четырёхдневная война» (−1 г.),z_tone,1.0,26.0,True,26
ARM-AZE,2015-04-02,0,контроль к «Четырёхдневная война» (−1 г.),z_tone,2.0,,False,26
ARM-AZE,2015-04-02,0,контроль к «Четырёхдневная война» (−1 г.),z_vol,1.0,,False,26
ARM-AZE,2015-04-02,0,контроль к «Четырёхдневная война» (−1 г.),z_vol,2.0,,False,26
ARM-AZE,2015-04-02,0,контроль к «Четырёхдневная война» (−1 г.),vol_ratio,1.5,,False,26
ARM-AZE,2015-04-02,0,контроль к «Четырёхдневная война» (−1 г.),vol_ratio,2.5,,False,26
ARM-AZE,2016-04-01,1,Четырёхдневная война,z_tone,1.0,,False,26
ARM-AZE,2016-04-01,1,Четырёхдневная война,z_tone,2.0,,False,26
ARM-AZE,2016-04-01,1,Четырёхдневная война,z_vol,1.0,26.0,True,26
ARM-AZE,2016-04-01,1,Четырёхдневная война,z_vol,2.0,,False,26
ARM-AZE,2016-04-01,1,Четырёхдневная война,vol_ratio,1.5,,False,26
ARM-AZE,2016-04-01,1,Четырёхдневная война,vol_ratio,2.5,,False,26
ARM-AZE,2019-07-13,0,контроль к «Бои в Товузском районе» (−1 г.),z_tone,1.0,15.0,False,26
ARM-AZE,2019-07-13,0,контроль к «Бои в Товузском районе» (−1 г.),z_tone,2.0,12.0,False,26
ARM-AZE,2019-07-13,0,контроль к «Бои в Товузском районе» (−1 г.),z_vol,1.0,22.0,False,26
ARM-AZE,2019-07-13,0,контроль к «Бои в Товузском районе» (−1 г.),z_vol,2.0,,False,26
