GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
333627484,20150125,201501,2015,2015.0685,SAU,SAUDI,SAU,,,,,,,,YEM,YEMENI,YEM,,,,,,,,1,10,10,1,1,0.0,2,1,2,2.11081794195251,4,"Mecca, Makkah, Saudi Arabia",SA,SA14,21.4267,39.8261,-3096949,4,"Sanaa, Sana', Yemen",YM,YM16,15.3547,44.2067,-3191442,4,"Sanaa, Sana', Yemen",YM,YM16,15.3547,44.2067,-3191442,20150125,http://cimsec.org/violent-political-decay-yemen-iranian-challenge-saudi-regional-superiority/14486
333627485,20150125,201501,2015,2015.0685,SAU,SAUDI ARABIA,SAU,,,,,,,,YEM,YEMENI,YEM,,,,,,,,1,12,12,1,1,-0.4,2,1,2,2.72108843537415,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,20150125,http://blogs.timesofindia.indiatimes.com/toi-editorials/yemen-matters-change-in-sanaa-and-riyadh-underscores-need-for-creative-new-deal-with-iran/
333627486,20150125,201501,2015,2015.0685,SAU,RIYADH,SAU,,,,,,,,YEM,YEMEN,YEM,,,,,,,,0,43,43,4,1,2.8,6,1,6,2.1875,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,1,Yemen,YM,YM,15.0,48.0,YM,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,20150125,http://www.saudigazette.com.sa/index.cfm?method=home.regcon&contentid=20150126231661
333627487,20150125,201501,2015,2015.0685,SAU,SAUDI ARABIA,SAU,,,,,,,,YEM,YEMEN,YEM,,,,,,,,0,43,43,4,1,2.8,2,1,2,2.1875,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,1,Yemen,YM,YM,15.0,48.0,YM,1,Yemen,YM,YM,15.0,48.0,YM,20150125,http://www.saudigazette.com.sa/index.cfm?method=home.regcon&contentid=20150126231661
333627488,20150125,201501,2015,2015.0685,SAU,RIYADH,SAU,,,,,,,,YEM,YEMEN,YEM,,,,,,,,0,43,43,4,1,2.8,2,1,2,2.1875,1,Syria,SY,SY,35.0,38.0,SY,1,Syria,SY,SY,35.0,38.0,SY,1,Syria,SY,SY,35.0,38.0,SY,20150125,http://www.saudigazette.com.sa/index.cfm?method=home.regcon&contentid=20150126231661
333627489,20150125,201501,2015,2015.0685,SAU,SAUDI ARABIA,SAU,,,,,,,,YEM,YEMENI,YEM,,,,,,,,0,1621,162,16,4,-5.6,1,1,1,2.72020725388601,4,"Sanaa, Sana', Yemen",YM,YM16,15.3547,44.2067,-3191442,1,Saudi Arabia,SA,SA,25.0,45.0,SA,1,Saudi Arabia,SA,SA,25.0,45.0,SA,20150125,http://www.digitaljournal.com/news/politics/op-ed-yemen-government-resigns-after-continued-houthi-rebel-s-pressure/article/424438
333627490,20150125,201501,2015,2015.0685,SAU,SAUDI ARABIA,SAU,,,,,,,,YEM,YEMENI,YEM,,,,,,,,0,1621,162,16,4,-5.6,1,1,1,2.72020725388601,1,Saudi Arabia,SA,SA,25.0,45.0,SA,4,"Sanaa, Sana', Yemen",YM,YM16,15.3547,44.2067,-3191442,4,"Sanaa, Sana', Yemen",YM,YM16,15.3547,44.2067,-3191442,20150125,http://www.digitaljournal.com/news/politics/op-ed-yemen-government-resigns-after-continued-houthi-rebel-s-pressure/article/424438
333627491,20150125,201501,2015,2015.0685,SAU,SAUDI ARABIA,SAU,,,,,,,,YEM,YEMEN,YEM,,,,,,,,0,186,186,18,4,-10.0,12,1,12,3.29436769394261,4,"Arabian Peninsula, Saudi Arabia (general), Saudi Arabia",SA,SA00,25.0,45.0,-3092884,4,"Sanaa, Sana', Yemen",YM,YM16,15.3547,44.2067,-3191442,4,"Sanaa, Sana', Yemen",YM,YM16,15.3547,44.2067,-3191442,20150125,http://edition.cnn.com/2015/01/24/opinion/bergen-obama-visit-saudi-arabia/index.html
333627492,20150125,201501,2015,2015.0685,SAU,SAUDI ARABIA,SAU,,,,,,,,YEM,YEMEN,YEM,,,,,,,,0,190,190,19,4,-10.0,2,1,2,2.89367429340511,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,20150125,http://www.politico.com/magazine/story/2015/01/saudi-arabia-king-salman-114583.html
333627493,20150125,201501,2015,2015.0685,SAU,SAUDI,SAU,,,,,,,,YEM,YEMENI,YEM,,,,,,,,0,191,191,19,4,-9.5,2,1,2,3.07219662058372,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,20150125,http://www.defensenews.com/story/defense/policy-budget/leaders/2015/01/25/united-arab-emirates-yemen-defense/22215363/
