GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1047855556,20220605,202206,2022,2022.4247,CHN,CHINA,CHN,,,,,,,,TWN,TAIWAN,TWN,,,,,,,,1,42,42,4,1,1.9,9,1,9,-5.5045871559633,4,"Victoria Park, Hong Kong (general), Hong Kong",HK,HK00,22.2833,114.183,-1354490,4,"Victoria Park, Hong Kong (general), Hong Kong",HK,HK00,22.2833,114.183,-1354490,4,"Victoria Park, Hong Kong (general), Hong Kong",HK,HK00,22.2833,114.183,-1354490,20220605,https://timesofindia.indiatimes.com/world/china/on-tiananmen-anniversary-hundreds-gather-in-taiwan-china-mutes-hong-kong-memorials/articleshow/92012719.cms
1047855557,20220605,202206,2022,2022.4247,CHN,CHINA,CHN,,,,,,,,TWN,TAIWAN,TWN,,,,,,,,1,1721,172,17,4,-5.0,5,1,5,-5.5045871559633,4,"Tiananmen, Beijing, China",CH,CH22,39.9072,116.391,-1928471,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,4,"Tiananmen, Beijing, China",CH,CH22,39.9072,116.391,-1928471,20220605,https://timesofindia.indiatimes.com/world/china/on-tiananmen-anniversary-hundreds-gather-in-taiwan-china-mutes-hong-kong-memorials/articleshow/92012719.cms
1047855987,20220605,202206,2022,2022.4247,TWN,TAIWAN,TWN,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,17,17,1,1,0.0,2,1,2,-5.5045871559633,4,"Victoria Park, Hong Kong (general), Hong Kong",HK,HK00,22.2833,114.183,-1354490,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,20220605,https://timesofindia.indiatimes.com/world/china/on-tiananmen-anniversary-hundreds-gather-in-taiwan-china-mutes-hong-kong-memorials/articleshow/92012719.cms
1047855988,20220605,202206,2022,2022.4247,TWN,TAIPEI,TWN,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,17,17,1,1,0.0,8,1,8,-5.5045871559633,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,20220605,https://timesofindia.indiatimes.com/world/china/on-tiananmen-anniversary-hundreds-gather-in-taiwan-china-mutes-hong-kong-memorials/articleshow/92012719.cms
1047855989,20220605,202206,2022,2022.4247,TWN,TAIWAN,TWN,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,43,43,4,1,2.8,2,1,2,-5.5045871559633,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,4,"Tiananmen, Beijing, China",CH,CH22,39.9072,116.391,-1928471,4,"Tiananmen, Beijing, China",CH,CH22,39.9072,116.391,-1928471,20220605,https://timesofindia.indiatimes.com/world/china/on-tiananmen-anniversary-hundreds-gather-in-taiwan-china-mutes-hong-kong-memorials/articleshow/92012719.cms
1047855990,20220605,202206,2022,2022.4247,TWN,TAIWAN,TWN,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,43,43,4,1,2.8,7,1,7,-5.5045871559633,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,4,"Tiananmen, Beijing, China",CH,CH22,39.9072,116.391,-1928471,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,20220605,https://timesofindia.indiatimes.com/world/china/on-tiananmen-anniversary-hundreds-gather-in-taiwan-china-mutes-hong-kong-memorials/articleshow/92012719.cms
1047855991,20220605,202206,2022,2022.4247,TWN,TAIWAN,TWN,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,51,51,5,1,3.4,2,1,2,-5.5045871559633,4,"Victoria Park, Hong Kong (general), Hong Kong",HK,HK00,22.2833,114.183,-1354490,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20220605,https://timesofindia.indiatimes.com/world/china/on-tiananmen-anniversary-hundreds-gather-in-taiwan-china-mutes-hong-kong-memorials/articleshow/92012719.cms
1047855992,20220605,202206,2022,2022.4247,TWN,TAIPEI,TWN,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,51,51,5,1,3.4,8,1,8,-5.5045871559633,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20220605,https://timesofindia.indiatimes.com/world/china/on-tiananmen-anniversary-hundreds-gather-in-taiwan-china-mutes-hong-kong-memorials/articleshow/92012719.cms
1047855993,20220605,202206,2022,2022.4247,TWN,TAIPEI,TWN,,,,,,,,CHNOPP,CHINA,CHN,,,,,OPP,,,1,51,51,5,1,3.4,6,1,6,-5.5045871559633,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,4,"Tiananmen, Beijing, China",CH,CH22,39.9072,116.391,-1928471,4,"Tiananmen, Beijing, China",CH,CH22,39.9072,116.391,-1928471,20220605,https://timesofindia.indiatimes.com/world/china/on-tiananmen-anniversary-hundreds-gather-in-taiwan-china-mutes-hong-kong-memorials/articleshow/92012719.cms
1047855994,20220605,202206,2022,2022.4247,TWN,TAIWAN,TWN,,,,,,,,CHNOPP,CHINA,CHN,,,,,OPP,,,1,170,170,17,4,-7.0,2,1,2,-5.5045871559633,4,"Victoria Park, Hong Kong (general), Hong Kong",HK,HK00,22.2833,114.183,-1354490,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20220605,https://timesofindia.indiatimes.com/world/china/on-tiananmen-anniversary-hundreds-gather-in-taiwan-china-mutes-hong-kong-memorials/articleshow/92012719.cms
