GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1281741243,20260101,202601,2026,2026.0027,USA,THE US,USA,,,,,,,,IRN,IRANIAN,IRN,,,,,,,,0,190,190,19,4,-10.0,6,1,6,-2.31548480463097,4,"Hebrew University, Yerushalayim, Israel",IS,IS06,31.7734,35.1981,-781095,4,"Hebrew University, Yerushalayim, Israel",IS,IS06,31.7734,35.1981,-781095,4,"Hebrew University, Yerushalayim, Israel",IS,IS06,31.7734,35.1981,-781095,20260101,https://mumbaimirror.indiatimes.com/opinion/what-the-meeting-with-trump-means-for-netanyahu/articleshow/126275283.html
1281741244,20260101,202601,2026,2026.0027,USA,THE US,USA,,,,,,,,IRN,IRANIAN,IRN,,,,,,,,0,190,190,19,4,-10.0,2,1,2,-2.31548480463097,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,20260101,https://mumbaimirror.indiatimes.com/opinion/what-the-meeting-with-trump-means-for-netanyahu/articleshow/126275283.html
1281741245,20260101,202601,2026,2026.0027,USA,THE US,USA,,,,,,,,IRN,IRANIAN,IRN,,,,,,,,0,190,190,19,4,-10.0,2,1,2,-2.31548480463097,3,"Palm Beach, Florida, United States",US,USFL,26.7056,-80.0364,288390,3,"Palm Beach, Florida, United States",US,USFL,26.7056,-80.0364,288390,3,"Palm Beach, Florida, United States",US,USFL,26.7056,-80.0364,288390,20260101,https://mumbaimirror.indiatimes.com/opinion/what-the-meeting-with-trump-means-for-netanyahu/articleshow/126275283.html
1281743237,20260101,202601,2026,2026.0027,USA,AMERICAN,USA,,,,,,,,IRN,IRANIAN,IRN,,,,,,,,0,10,10,1,1,0.0,2,1,2,-5.53846153846154,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20260101,https://www.ynetnews.com/article/bycf5gmnbl
1281743238,20260101,202601,2026,2026.0027,USA,AMERICAN,USA,,,,,,,,IRN,IRANIAN,IRN,,,,,,,,0,10,10,1,1,0.0,2,1,2,-5.53846153846154,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,20260101,https://www.ynetnews.com/article/bycf5gmnbl
1281743315,20260101,202601,2026,2026.0027,USAGOV,AMERICAN,USA,,,,,GOV,,,IRN,IRANIAN,IRN,,,,,,,,0,10,10,1,1,0.0,6,1,6,-5.53846153846154,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,20260101,https://www.ynetnews.com/article/bycf5gmnbl
1281744394,20260101,202601,2026,2026.0027,IRN,PERSIA,IRN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,173,173,17,4,-5.0,2,1,2,-11.5458015267176,3,"Columbia County, New York, United States",US,USNY,42.2506,-73.6496,974109,3,"Columbia County, New York, United States",US,USNY,42.2506,-73.6496,974109,3,"Columbia County, New York, United States",US,USNY,42.2506,-73.6496,974109,20260101,https://www.dailygazette.com/hv360/hv360/the-twin-counties-year-in-crime-and-courts/article_5e36dba9-a9e4-4467-8047-37ca7eb13d4c.html
1281744395,20260101,202601,2026,2026.0027,IRN,PERSIA,IRN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,190,190,19,4,-10.0,4,1,2,-11.5458015267176,3,"Columbia County, New York, United States",US,USNY,42.2506,-73.6496,974109,3,"Columbia County, New York, United States",US,USNY,42.2506,-73.6496,974109,3,"Columbia County, New York, United States",US,USNY,42.2506,-73.6496,974109,20260101,https://www.dailygazette.com/hv360/hv360/the-twin-counties-year-in-crime-and-courts/article_5e36dba9-a9e4-4467-8047-37ca7eb13d4c.html
1281748421,20260101,202601,2026,2026.0027,IRNGOVMED,IRAN,IRN,,,,,GOV,MED,,USAMED,REUTERS,USA,,,,,MED,,,1,134,134,13,3,-5.8,1,1,1,-3.49040139616055,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20260101,https://nypost.com/2025/12/31/world-news/iran-launches-satellites-on-russian-rockets-as-moscow-tehran-ties-deepen/
1281748422,20260101,202601,2026,2026.0027,IRNGOVMED,IRAN,IRN,,,,,GOV,MED,,USAMED,REUTERS,USA,,,,,MED,,,1,134,134,13,3,-5.8,1,1,1,-3.49040139616055,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20260101,https://nypost.com/2025/12/31/world-news/iran-launches-satellites-on-russian-rockets-as-moscow-tehran-ties-deepen/
1281748764,20260101,202601,2026,2026.0027,USA,UNITED STATES,USA,,,,,,,,IRN,IRAN,IRN,,,,,,,,0,138,138,13,3,-7.0,2,1,2,-3.49040139616055,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,20260101,https://nypost.com/2025/12/31/world-news/iran-launches-satellites-on-russian-rockets-as-moscow-tehran-ties-deepen/
1281748765,20260101,202601,2026,2026.0027,USA,UNITED STATES,USA,,,,,,,,IRN,IRAN,IRN,,,,,,,,0,138,138,13,3,-7.0,1,1,1,-3.49040139616055,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20260101,https://nypost.com/2025/12/31/world-news/iran-launches-satellites-on-russian-rockets-as-moscow-tehran-ties-deepen/
1281750464,20260101,202601,2026,2026.0027,IRN,IRAN,IRN,,,,,,,,USA,FLORIDA,USA,,,,,,,,1,40,40,4,1,1.0,2,1,2,1.16525423728813,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,20260101,https://www.yahoo.com/entertainment/tv/articles/last-christmas-gave-iran-trump-004604151.html
1281750465,20260101,202601,2026,2026.0027,IRN,IRAN,IRN,,,,,,,,USA,FLORIDA,USA,,,,,,,,1,40,40,4,1,1.0,8,1,8,1.16525423728813,1,Iran,IR,IR,32.0,53.0,IR,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,1,Iran,IR,IR,32.0,53.0,IR,20260101,https://www.yahoo.com/entertainment/tv/articles/last-christmas-gave-iran-trump-004604151.html
1281750676,20260101,202601,2026,2026.0027,USA,FLORIDA,USA,,,,,,,,IRN,IRAN,IRN,,,,,,,,1,40,40,4,1,1.0,4,1,4,1.16525423728813,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,20260101,https://www.yahoo.com/entertainment/tv/articles/last-christmas-gave-iran-trump-004604151.html
1281750677,20260101,202601,2026,2026.0027,USA,FLORIDA,USA,,,,,,,,IRN,IRAN,IRN,,,,,,,,1,40,40,4,1,1.0,6,1,6,1.16525423728813,1,Iran,IR,IR,32.0,53.0,IR,1,Iran,IR,IR,32.0,53.0,IR,1,Iran,IR,IR,32.0,53.0,IR,20260101,https://www.yahoo.com/entertainment/tv/articles/last-christmas-gave-iran-trump-004604151.html
1281752818,20260101,202601,2026,2026.0027,USA,UNITED STATES,USA,,,,,,,,IRN,IRAN,IRN,,,,,,,,0,20,20,2,1,3.0,2,1,2,-1.84019370460049,2,"California, United States",US,USCA,36.17,-119.746,CA,2,"California, United States",US,USCA,36.17,-119.746,CA,2,"California, United States",US,USCA,36.17,-119.746,CA,20260101,https://richmondfreepress.com/news/2025/dec/31/deportations-tariffs-court-clashes-record-shutdown-mark-historic-year-in-dc/
1281752819,20260101,202601,2026,2026.0027,USA,UNITED STATES,USA,,,,,,,,IRN,IRAN,IRN,,,,,,,,0,20,20,2,1,3.0,2,1,2,-1.84019370460049,2,"California, United States",US,USCA,36.17,-119.746,CA,1,Iran,IR,IR,32.0,53.0,IR,1,Iran,IR,IR,32.0,53.0,IR,20260101,https://richmondfreepress.com/news/2025/dec/31/deportations-tariffs-court-clashes-record-shutdown-mark-historic-year-in-dc/
