GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1279456736,20251116,202511,2025,2025.8658,VEN,VENEZUELA,VEN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,111,111,11,3,-2.0,1,1,1,-6.56634746922024,4,"Caracas, Distrito Federal, Venezuela",VE,VE25,10.5,-66.9167,-938457,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,20251216,https://www.yahoo.com/news/articles/maduro-dances-don-t-worry-215157390.html
1279456737,20251116,202511,2025,2025.8658,VEN,VENEZUELA,VEN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,141,141,14,3,-6.5,1,1,1,-6.56634746922024,4,"Caracas, Distrito Federal, Venezuela",VE,VE25,10.5,-66.9167,-938457,4,"Caracas, Distrito Federal, Venezuela",VE,VE25,10.5,-66.9167,-938457,4,"Caracas, Distrito Federal, Venezuela",VE,VE25,10.5,-66.9167,-938457,20251216,https://www.yahoo.com/news/articles/maduro-dances-don-t-worry-215157390.html
1279456738,20251116,202511,2025,2025.8658,VEN,VENEZUELA,VEN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,141,141,14,3,-6.5,5,1,5,-6.56634746922024,4,"Caracas, Distrito Federal, Venezuela",VE,VE25,10.5,-66.9167,-938457,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,20251216,https://www.yahoo.com/news/articles/maduro-dances-don-t-worry-215157390.html
1279458989,20251216,202512,2025,2025.9479,USA,UNITED STATES,USA,,,,,,,,VEN,VENEZUELA,VEN,,,,,,,,0,40,40,4,1,1.0,4,1,4,-1.80360721442886,2,"Arkansas, United States",US,USAR,34.9513,-92.3809,AR,1,Venezuela,VE,VE,8.0,-66.0,VE,2,"Arkansas, United States",US,USAR,34.9513,-92.3809,AR,20251216,https://www.yahoo.com/news/articles/dan-crenshaw-one-most-famous-170705120.html
1279458990,20251216,202512,2025,2025.9479,USA,UNITED STATES,USA,,,,,,,,VEN,VENEZUELA,VEN,,,,,,,,0,42,42,4,1,1.9,1,1,1,-1.80360721442886,3,"Rice University, Texas, United States",US,USTX,29.7173,-95.4027,1345164,1,Venezuela,VE,VE,8.0,-66.0,VE,3,"Rice University, Texas, United States",US,USTX,29.7173,-95.4027,1345164,20251216,https://www.yahoo.com/news/articles/dan-crenshaw-one-most-famous-170705120.html
1279458991,20251216,202512,2025,2025.9479,USA,UNITED STATES,USA,,,,,,,,VEN,VENEZUELA,VEN,,,,,,,,0,42,42,4,1,1.9,1,1,1,-1.80360721442886,3,"Capitol Hill, District of Columbia, United States",US,USDC,38.889,-77.0003,529313,1,Venezuela,VE,VE,8.0,-66.0,VE,1,Venezuela,VE,VE,8.0,-66.0,VE,20251216,https://www.yahoo.com/news/articles/dan-crenshaw-one-most-famous-170705120.html
1279459122,20251216,202512,2025,2025.9479,VEN,VENEZUELA,VEN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,11,11,1,1,-0.1,2,1,2,-1.80360721442886,1,Venezuela,VE,VE,8.0,-66.0,VE,2,"Arkansas, United States",US,USAR,34.9513,-92.3809,AR,2,"Arkansas, United States",US,USAR,34.9513,-92.3809,AR,20251216,https://www.yahoo.com/news/articles/dan-crenshaw-one-most-famous-170705120.html
1279459123,20251216,202512,2025,2025.9479,VEN,VENEZUELA,VEN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,11,11,1,1,-0.1,2,1,2,-1.80360721442886,1,Venezuela,VE,VE,8.0,-66.0,VE,2,"Arkansas, United States",US,USAR,34.9513,-92.3809,AR,1,Venezuela,VE,VE,8.0,-66.0,VE,20251216,https://www.yahoo.com/news/articles/dan-crenshaw-one-most-famous-170705120.html
1279459124,20251216,202512,2025,2025.9479,VEN,VENEZUELA,VEN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,40,40,4,1,1.0,4,1,4,-1.80360721442886,1,Venezuela,VE,VE,8.0,-66.0,VE,2,"Arkansas, United States",US,USAR,34.9513,-92.3809,AR,2,"Arkansas, United States",US,USAR,34.9513,-92.3809,AR,20251216,https://www.yahoo.com/news/articles/dan-crenshaw-one-most-famous-170705120.html
1279459125,20251216,202512,2025,2025.9479,VEN,VENEZUELA,VEN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,43,43,4,1,2.8,1,1,1,-1.80360721442886,1,Venezuela,VE,VE,8.0,-66.0,VE,3,"Rice University, Texas, United States",US,USTX,29.7173,-95.4027,1345164,3,"Rice University, Texas, United States",US,USTX,29.7173,-95.4027,1345164,20251216,https://www.yahoo.com/news/articles/dan-crenshaw-one-most-famous-170705120.html
1279459126,20251216,202512,2025,2025.9479,VEN,VENEZUELA,VEN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,43,43,4,1,2.8,1,1,1,-1.80360721442886,1,Venezuela,VE,VE,8.0,-66.0,VE,3,"Capitol Hill, District of Columbia, United States",US,USDC,38.889,-77.0003,529313,1,Venezuela,VE,VE,8.0,-66.0,VE,20251216,https://www.yahoo.com/news/articles/dan-crenshaw-one-most-famous-170705120.html
1279466650,20251216,202512,2025,2025.9479,VEN,VENEZUELA,VEN,,,,,,,,USA,PHILADELPHIA,USA,,,,,,,,1,125,125,12,3,-5.0,5,1,5,-1.23076923076923,3,"Philadelphia, Pennsylvania, United States",US,USPA,39.9523,-75.1638,1209052,3,"Philadelphia, Pennsylvania, United States",US,USPA,39.9523,-75.1638,1209052,3,"Philadelphia, Pennsylvania, United States",US,USPA,39.9523,-75.1638,1209052,20251216,https://www.workers.org/2025/12/89568/
1279466651,20251216,202512,2025,2025.9479,VEN,VENEZUELA,VEN,,,,,,,,USAMED,THE ASSOCIATED PRESS,USA,,,,,MED,,,1,10,10,1,1,0.0,10,4,10,-1.80500506044971,1,Venezuela,VE,VE,8.0,-66.0,VE,1,Venezuela,VE,VE,8.0,-66.0,VE,1,Venezuela,VE,VE,8.0,-66.0,VE,20251216,https://www.wftv.com/news/world/trinidad-tobago-will/SSK3LYXST4ZSTOXDWHVUQ3XY6M/
1279466652,20251216,202512,2025,2025.9479,VEN,VENEZUELA,VEN,,,,,,,,USAMED,THE ASSOCIATED PRESS,USA,,,,,MED,,,0,13,13,1,1,0.4,6,3,6,-2.1512455722982,1,Venezuela,VE,VE,8.0,-66.0,VE,1,Venezuela,VE,VE,8.0,-66.0,VE,1,Venezuela,VE,VE,8.0,-66.0,VE,20251216,https://www.wftv.com/news/world/trinidad-tobago-will/SSK3LYXST4ZSTOXDWHVUQ3XY6M/
1279470982,20251216,202512,2025,2025.9479,USA,THE US,USA,,,,,,,,VEN,VENEZUELAN,VEN,,,,,,,,0,163,163,16,4,-8.0,10,1,10,2.81593406593407,1,Venezuela,VE,VE,8.0,-66.0,VE,1,Venezuela,VE,VE,8.0,-66.0,VE,1,Venezuela,VE,VE,8.0,-66.0,VE,20251216,https://www.hellenicshippingnews.com/aiming-for-the-big-prize-in-us-unconventional-oil-and-gas/
